term_name,description,field_authority_link,field_location_of_meeting,field_num_of_section_or_meet,field_primary_name,field_subordinate_name,field_unique_id
Johns Hopkins University. Spring Fair,,,,,Johns Hopkins University,Spring Fair,4b102301-beb4-404a-9c42-40e352aa6632
Johns Hopkins University. Study of Exceptional Talent,,viaf%%http://viaf.org/viaf/142199214|lcnaf%%http://id.loc.gov/authorities/names/no97006160,,,Johns Hopkins University,Study of Exceptional Talent,571034c6-4264-4a20-9e9d-db75c681a28f
Johns Hopkins University. Writing Seminars,,,,,Johns Hopkins University,Writing Seminars,8bb448a3-fa62-42ef-9f3b-c3d2a75e4393
Johnston Brothers,,,,,Johnston Brothers,,397862ef-a334-404a-9d98-771d1b8de11d
Kenneth M. Brooks Studio,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,Kenneth M. Brooks Studio,,3f137bd0-16a2-4277-8a16-3dfce5816559
"Kenneth R. Sanderson, Inc.","Location information: Garden City, NY|basic_html|Location information: Garden City, NY",,,,"Kenneth R. Sanderson, Inc.",,f5a7507d-7daa-42f2-8dff-3ed6ee5311c2
Kitt Peak National Observatory,,viaf%%http://viaf.org/viaf/126673157|lcnaf%%http://id.loc.gov/authorities/names/n80152888,,,Kitt Peak National Observatory,,8670efd9-1ddb-41b7-b5fd-9d625f200cf7
Knowlton Bros.,,viaf%%http://viaf.org/viaf/145825756|lcnaf%%http://id.loc.gov/authorities/names/no2010103964,,,Knowlton Bros.,,3bf5208b-68f2-46d1-b0c3-511e03d88f38
Ku Klux Klan (1915- ),,viaf%%http://viaf.org/viaf/136817688|lcnaf%%http://id.loc.gov/authorities/names/n80076145,,,Ku Klux Klan (1915- ),,4331b175-f2bc-48d5-8bce-7b4ebf2b5dce
Kuhn & Cummins,,,,,Kuhn & Cummins,,836e46f0-a23d-4293-9a98-8faf1589e27b
Lacrosse Hall of Fame and Museum,,viaf%%http://viaf.org/viaf/154928412|lcnaf%%http://id.loc.gov/authorities/names/n95012252,,,Lacrosse Hall of Fame and Museum,,7a8c3cee-440f-4eda-af41-067fe7546c86
Lancaster News Era,"Location information: Lancaster, PA|basic_html|Location information: Lancaster, PA",,,,Lancaster News Era,,d05b6339-bb5f-42fd-94ec-70a7750750a3
Lee Brothers,"Location information: Minneapolis, MN|basic_html|Location information: Minneapolis, MN",,,,Lee Brothers,,ec87883f-d34f-4ae6-8a0a-c4d80a7608cd
Lightner Photography,,,,,Lightner Photography,,eceefee3-b0c8-4953-9dd5-9257b14ebd68
London School of Economics and Political Science,,viaf%%http://viaf.org/viaf/124127252|lcnaf%%http://id.loc.gov/authorities/names/n80038497,,,London School of Economics and Political Science,,80d2b59b-4efa-4cf1-b88f-f91158c436e2
Long-Term Ecological Research Program,,viaf%%http://viaf.org/viaf/128193170|lcnaf%%http://id.loc.gov/authorities/names/n92020149,,,Long-Term Ecological Research Program,,76a2d04c-edb3-44c9-b0e4-bbb8bf4a9012
Los Angeles Urban League,,viaf%%http://viaf.org/viaf/132566203|lcnaf%%http://id.loc.gov/authorities/names/n83218421,,,Los Angeles Urban League,,f26871e1-7975-4e16-abeb-af27bd27d0ab
"Louisiana State University (Baton Rouge, La.)",,lcnaf%%http://id.loc.gov/authorities/names/n80020543|viaf%%http://viaf.org/viaf/312543043,,,"Louisiana State University (Baton Rouge, La.)",,758c7be3-d366-4d61-b945-2ec66b6b3be8
Lowry Photo,,,,,Lowry Photo,,565cc9c3-5704-4ae8-b09c-d499bf81929b
Lubitsh & Bungarz,"Location information: Wilmington, DE|basic_html|Location information: Wilmington, DE",,,,Lubitsh & Bungarz,,a8b61f2c-8af1-419c-b628-974990ca5bef
Luedeke Studio,"Location information: Buffalo, NY|basic_html|Location information: Buffalo, NY",,,,Luedeke Studio,,c9fdcb29-da3f-4cce-ac4d-39194f278594
"Lyric Theater (Baltimore, Md.)",,viaf%%http://viaf.org/viaf/131508964|lcnaf%%http://id.loc.gov/authorities/names/n95050616,,,"Lyric Theatre (Baltimore, Md.)",,77004933-80cc-4f8a-b8b1-a631ba13e186
Maine (Battleship),,viaf%%http://viaf.org/viaf/170006574|lcnaf%%http://id.loc.gov/authorities/names/n87931204,,,Maine (Battleship),,de39a170-070c-47c7-ab3c-9648ec391d51
"Maps, Incorporated",,,,,"Maps, Incorporated",,8d27871b-5a13-4ec8-ad64-4f4cf880b531
Marshall Plan,,viaf%%http://viaf.org/viaf/152514704|lcnaf%%http://id.loc.gov/authorities/names/n85229815,,,Marshall Plan,,46f9334c-238a-4b53-9092-83b9090385a0
Maryland Higher Education Commission,,viaf%%http://viaf.org/viaf/145528395|lcnaf%%http://id.loc.gov/authorities/names/n88207172,,,Maryland Higher Education Commission,,9c224943-ea4e-49a3-98b3-7b207878bb05
Maryland Independent College and University Association,,,,,Maryland Independent College and University Association,,507bae26-852d-4b70-ad4d-c4853cc40d55
"Maryland National Guard. 104th Photo Section, 29th",,,,,Maryland National Guard,"104th Photo Section, 29th",02d63032-868b-46b1-b2a1-7b763e0dc30e
Maryland Photo Stock Co.,,,,,Maryland Photo Stock Co.,,f6037ad2-bad6-4af2-b118-b15e406f1676
Maryland Science Center,,viaf%%http://viaf.org/viaf/151541529|lcnaf%%http://id.loc.gov/authorities/names/no00037338,,,Maryland Science Center,,ed5fbd20-f553-492a-ba4f-4a568ce3ec75
Maryland. General Assembly,,viaf%%http://viaf.org/viaf/126665183|lcnaf%%http://id.loc.gov/authorities/names/n80046011,,,Maryland,General Assembly,1b44a262-6041-4d1a-a24c-511d68daee8c
Maryland. Health Services Cost Review Commission,,viaf%%http://viaf.org/viaf/157146549|lcnaf%%http://id.loc.gov/authorities/names/n83184747,,,Maryland,Health Services Cost Review Commission,5243cb44-42f2-44b8-8067-06b5c68d61bd
Maryland. Office of Administrative Hearings,,viaf%%http://viaf.org/viaf/146727810|lcnaf%%http://id.loc.gov/authorities/names/n93002932,,,Maryland,Office of Administrative Hearings,6edd887a-1145-4c5a-917e-c8c0e963ec5c
Massachusetts Institute of Technology,,viaf%%http://viaf.org/viaf/150025207|lcnaf%%http://id.loc.gov/authorities/names/n79006591,,,Massachusetts Institute of Technology,,4124ac94-160f-4f50-965e-28119992b2aa
Matar Studio,"Location information: New York City, NY|basic_html|Location information: New York City, NY",,,,Matar Studio,,a97b6f38-bb85-4015-bdf7-8f5600629bd5
Mathew Francis Studio,,,,,Mathew Francis Studio,,5e7eef7f-ffce-4baa-822a-5f7b138ddfbb
Mayo Clinic,,viaf%%http://viaf.org/viaf/127763366|lcnaf%%http://id.loc.gov/authorities/names/n79026897,,,Mayo Clinic,,e5c0ca78-d0c7-48ad-8760-d008f4c2f10a
"McKim, Mead & White",Location information: New York|basic_html|Location information: New York,,,,"McKim, Mead & White",,dc6030d1-0dbe-46e5-aeda-55943a82ee26
"Memorial Stadium (Baltimore, Md.)",,viaf%%http://viaf.org/viaf/316593993|other%%http://id.worldcat.org/fast/673892,,,"Memorial Stadium (Baltimore, Md.)",,776f1203-d4ed-4d04-a643-6a6b9f41ef9e
Meyerhoff Scholarship Program,,viaf%%http://viaf.org/viaf/153963940|lcnaf%%http://id.loc.gov/authorities/names/no2005039202,,,Meyerhoff Scholarship Program,,0f8a7530-9517-4b81-bd99-3860f7e05eb9
Mezzo-tint Studio,"Location information: Washington, DC|basic_html|Location information: Washington, DC",,,,Mezzo-tint Studio,,13efd587-0e8e-47ef-8231-838ccf6bfa05
Michigan State University. Photographic Lab,,,,,Michigan State University,Photographic Lab,537a0c8b-0d1d-4ef0-b674-b9ec3dfad955
Middle States Association of Colleges and Schools,,viaf%%http://viaf.org/viaf/144224176|lcnaf%%http://id.loc.gov/authorities/names/n78030211,,,Middle States Association of Colleges and Schools,,4ea40328-df54-480b-9424-eebaed3cbc50
Milner Productions,,,,,Milner Productions,,0e6ab901-4252-496a-b50c-fa170ed22854
Milton S. Eisenhower Library,,viaf%%http://viaf.org/viaf/136069532|lcnaf%%http://id.loc.gov/authorities/names/n82151454,,,Milton S. Eisenhower Library,,bcdc9b8e-b7e8-4888-8925-77bfa3f4caa0
Milton S. Eisenhower Symposium,,viaf%%http://viaf.org/viaf/133150521|lcnaf%%http://id.loc.gov/authorities/names/n85098381,,,Milton S. Eisenhower Symposium,,f0f30a15-7d8f-4f17-9b0e-ece8246cd870tid
Milton S. Hershey Medical Center,,viaf%%http://viaf.org/viaf/167472916|lcnaf%%http://id.loc.gov/authorities/names/n77015020,,,Milton S. Hershey Medical Center,,d73c3b3e-4856-45ac-b303-e2a514ef4f98
Mitchel Studios,,,,,Mitchel Studios,,73dcab2c-192a-40ca-85ba-0bb142d0ca0a
Mitchell Studios,,,,,Mitchell Studios,,ab899644-912b-439f-930f-fb2286c890a7
Monsanto Company,,viaf%%http://viaf.org/viaf/531145424654886830565|lcnaf%%http://id.loc.gov/authorities/names/n50005737,,,Monsanto Company,,09dcf5f8-9038-4aaf-a50c-7942a1a7ee09
Montgomery Ward,,viaf%%http://viaf.org/viaf/134855151|lcnaf%%http://id.loc.gov/authorities/names/n79075632,,,Montgomery Ward,,a8719b95-3522-4821-ae73-f138e6217754
Morton Tadder Associates,,,,,Morton Tadder Associates,,3b37ea01-6cb1-4b08-bbfa-3acea520e2db
Mount Holyoke College,,viaf%%http://viaf.org/viaf/124914975|lcnaf%%http://id.loc.gov/authorities/names/n79021153,,,Mount Holyoke College,,d6cb0d0e-3112-4264-a805-102f8710b1b9
Mu Phi Epsilon,,viaf%%http://viaf.org/viaf/151275948|lcnaf%%http://id.loc.gov/authorities/names/n81012249,,,Mu Phi Epsilon,,4b6ef0f8-7226-4ca7-bbdc-bbed13480db2
National Academy of Sciences (U.S.),,viaf%%http://viaf.org/viaf/128058762|https://id.loc.gov/authorities/names/n79056514,,,National Academy of Sciences (U.S.),,fe94edfd-b8fa-4ae0-9c9d-b796cedec898
National Association of State Universities and Land-Grant Colleges,,viaf%%http://viaf.org/viaf/152966196|lcnaf%%http://id.loc.gov/authorities/names/n81024734,,,National Association of State Universities and Land-Grant Colleges,,d3073a5c-4f29-42a0-a742-27fa79338099
National Institute of Standards and Technology (U.S.),,viaf%%http://viaf.org/viaf/131110795|lcnaf%%http://id.loc.gov/authorities/names/n88112126,,,National Institute of Standards and Technology (U.S.),,3b57c6af-2438-4b20-9d64-4e237b11fe12
National Institutes of Health (U.S.),,viaf%%http://viaf.org/viaf/223553453|lcnaf%%http://id.loc.gov/authorities/names/n78085445,,,National Institutes of Health (U.S.),,3eb3ed97-fee0-4a84-b57c-ce4331f35e4c
National Opinion Research Center,,viaf%%http://viaf.org/viaf/130871519|lcnaf%%http://id.loc.gov/authorities/names/n79120282,,,National Opinion Research Center,,08b39cb9-ca53-4f4f-b1da-4d547158208e
National Organization for Women,,viaf%%http://viaf.org/viaf/136522669|lcnaf%%http://id.loc.gov/authorities/names/n50063455,,,National Organization for Women,,ade42fd0-37e9-4812-9ccc-7f758a8593a0
National Science Foundation (U.S.),,viaf%%http://viaf.org/viaf/157365449|lcnaf%%http://id.loc.gov/authorities/names/n79005681,,,National Science Foundation (U.S.),,cec0b69c-0a9b-4a28-a064-5575eb5e7f95
Nationalsozialistische Deutsche Arbeiter-Partei,,viaf%%http://viaf.org/viaf/146810847|lcnaf%%http://id.loc.gov/authorities/names/no2011065855,,,National Socialist Party,,3812c92d-a585-4057-beea-361fe5940e04
Nautilus (Submarine : SSN-571),,viaf%%http://viaf.org/viaf/135977854|lcnaf%%http://id.loc.gov/authorities/names/n81070676,,,Nautilus (Submarine : SSN-571),,79598852-eb5b-4d9f-8d89-52c7f8ad136e
Naval Research Laboratory (U.S.),,viaf%%http://viaf.org/viaf/132509966|lcnaf%%http://id.loc.gov/authorities/names/n79054558,,,Naval Research Laboratory (U.S.),,ea87bdbb-1e38-4d9b-914a-78350dcb2e61
New Horizons (Spacecraft),,viaf%%http://viaf.org/viaf/310713857|lcnaf%%http://id.loc.gov/authorities/names/n2014061514,,,New Horizons (Spacecraft),,9f99d1b2-0ab9-4ffd-abc0-581e2355d146
New York Newsday,,,,,New York Newsday,,1e3f1523-60c6-4042-995d-258541a38fa1
New York Times company,,viaf%%http://viaf.org/viaf/192149064,,,New York Times company,,127d5b0e-61ee-4939-807b-659a14f3e0a2
New York Times Studio,,,,,New York Times Studio,,546709ca-9939-4978-9be6-2a4ed8ecbd54
New York University. School of Law,,viaf%%http://viaf.org/viaf/144113313|lcnaf%%http://id.loc.gov/authorities/names/n81013381,,,New York University,School of Law,bf779e79-01b0-4496-b6ed-f77512abfbf2
"Notman Photo Co. (Boston, Mass.)","Location information: Boston, MA|basic_html|Location information: Boston, MA",viaf%%http://viaf.org/viaf/148129503|lcnaf%%http://id.loc.gov/authorities/names/no2007135162,,,"Notman Photo Co. (Boston, Mass.)",,b3c2a8a9-539c-43fe-95b8-971ea08d1059
Office of News and Information Services,,,,,Office of News and Information Services,,aca8df8a-8a1b-42d3-838b-89d9a0759d7b
Ohio State University,,viaf%%http://viaf.org/viaf/129559629|lcnaf%%http://id.loc.gov/authorities/names/n79046205,,,Ohio State University,,cb862fae-c86c-4943-8317-ad5a0c40e28a
"Olympic Winter Games (22nd : 2014 : Sochi, Russia)",,viaf%%http://viaf.org/viaf/147224752|lcnaf%%http://id.loc.gov/authorities/names/n2009042303,"Sochi, Russia",22nd,Olympic Winter Games,,bd8cd65f-40f2-4c86-a0ad-f6014d76d1b1
Omicron Delta Kappa,,viaf%%http://viaf.org/viaf/159378017|lcnaf%%http://id.loc.gov/authorities/names/n2004071293,,,Omicron Delta Kappa,,2231eb82-6b8b-44f6-ba59-28fdc3c0fb5d
Organ Procurement and Transplantation Network (United States),,viaf%%http://viaf.org/viaf/138737924|lcnaf%%http://id.loc.gov/authorities/names/no2006001369,,,Organ Procurement and Transplantation Network (United States),,06ee3ce1-d9f5-488e-a53e-88c7fcd32bd7
"Oscar & Associates, Inc.","Location information: Chicago, IL|basic_html|Location information: Chicago, IL",,,,"Oscar & Associates, Inc.",,75e2d7e1-6afd-4347-97a6-db5c7172ca87
P & A Photo,Location information: New York|basic_html|Location information: New York,,,,P & A Photo,,4006070b-1763-4bc2-b549-2af96b099f32
Pach Brothers (Firm),"Location information: New York; Cambridge, MA|basic_html|Location information: New York; Cambridge, MA",viaf%%http://viaf.org/viaf/124487236|lcnaf%%http://id.loc.gov/authorities/names/n93124968,,,Pach Brothers (Firm),,ba180bb2-9912-4758-b77b-29281ec0977b
"Parker, Thomas & Rice",,,,,"Parker, Thomas & Rice",,4b4418a2-cbdd-4203-9bf2-5ae2cfbc9930
Peabody Conservatory of Music,,viaf%%http://viaf.org/viaf/145481534|lcnaf%%http://id.loc.gov/authorities/names/n85129666,,,Peabody Conservatory of Music,,cd1bec45-75fd-4ce4-9a54-e266238f6dd6
Pennsylvania State University,,viaf%%http://viaf.org/viaf/131708105|lcnaf%%http://id.loc.gov/authorities/names/n79097418,,,Pennsylvania State University,,de659790-4877-40e5-97fc-ec525d026f3e
Pennsylvania State University. Applied Research Laboratory,,viaf%%http://viaf.org/viaf/146571089|lcnaf%%http://id.loc.gov/authorities/names/n79105831,,,Pennsylvania State University,Applied Research Laboratory,c02a094d-4828-4048-9a8d-b90ab575b34e
Perkin-Elmer Corporation,,viaf%%http://viaf.org/viaf/144757228|lcnaf%%http://id.loc.gov/authorities/names/n82053279,,,Perkin-Elmer Corporation,,260f67f8-0391-42d4-866c-3df0b0fe445a
Phi Kappa Psi,,viaf%%http://viaf.org/viaf/153614857|lcnaf%%http://id.loc.gov/authorities/names/n81062679,,,Phi Kappa Psi,,09816aad-be2b-4dec-83df-6b41d7be1604
Photo-crafters,,,,,Photo-crafters,,a0fe7e96-4163-447c-be3d-aeb266985308
Piccering Studio,"Location information: Annapolis, MD|basic_html|Location information: Annapolis, MD",,,,Piccering Studio,,ce7e9d67-2a11-4777-a9b0-06d092b126ca
Piper & Marbury,,viaf%%http://viaf.org/viaf/153741421|lcnaf%%http://id.loc.gov/authorities/names/n91043466,,,Piper & Marbury,,f39bff97-e500-4928-aa4c-43b9e84a756d
Pithotomy Club,,,,,Pithotomy Club,,5ad1abd8-fd6e-46fb-b54c-e6822a17e5ad
Princeton University,,viaf%%http://viaf.org/viaf/141200041|lcnaf%%http://id.loc.gov/authorities/names/n79055384,,,Princeton University,,0d52d00b-6d22-4835-98df-0b9196bf7c18
Project Liberty Ship,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,Project Liberty Ship,,054519db-6b3b-45ac-a2d8-b48eb5fe8a75
Project Muse,,viaf%%http://viaf.org/viaf/149092937|lcnaf%%http://id.loc.gov/authorities/names/n96089174,,,Project Muse,,5dc19b5b-0673-4e9f-a45f-0c2d73269ef8
Rembrandt Studio,"Location information: Easton, PA|basic_html|Location information: Easton, PA",,,,Rembrandt Studio,,ca051a18-8150-429e-a7d7-f16d20ee1f74
Republican Party (U.S. : 1854- ),,viaf%%http://viaf.org/viaf/123152632|lcnaf%%http://id.loc.gov/authorities/names/n80067040,,,Republican Party (U.S. : 1854- ),,83205e3e-3ed4-41f0-8df1-b6c1671c46bc
"Research Information Services, GE","Location information: Schenectady, NY|basic_html|Location information: Schenectady, NY",,,,"Research Information Services, GE",,1bf918b2-85c9-430d-881f-4674ed40b4ab
Rettberg Brothers,,,,,Rettberg Brothers,,9a1ce391-bd86-4695-ab46-5db97b1f9000
Robert Smith Photography,,,,,Robert Smith Photography,,7f4b087e-9539-4153-bb1d-16e97fc2b325
Rockefeller Institute for Medical Research,,viaf%%http://viaf.org/viaf/137251162|lcnaf%%http://id.loc.gov/authorities/names/n84004719,,,Rockefeller Institute for Medical Research,,83d1f2cc-e87d-48a6-95b1-70eac3d04f9c
Rockwood Photo,Location information: New York|basic_html|Location information: New York,,,,Rockwood Photo,,6768aa2e-e9d4-47fc-97de-5aa029d41598
Rohm and Haas Company,,viaf%%http://viaf.org/viaf/153495768|lcnaf%%http://id.loc.gov/authorities/names/n83191201,,,Rohm and Haas Company,,89585e09-93e3-44e0-9c01-49c978b828ac
"Rose Studio (Providence, R.I.)",,lcnaf%%http://id.loc.gov/authorities/names/no2009062549|viaf%%http://viaf.org/viaf/152835401,,,Y. E. Rose Studio,,fce68611-4362-4600-a9b5-30872f1b6ede
Ross Photos,"Location information: New York City, NY|basic_html|Location information: New York City, NY",,,,Ross Photos,,7d07a360-fdcc-45d0-b79e-ab0377aee64e
"Royal Prince Alfred Hospital (Sydney, N.S.W.)",,viaf%%http://viaf.org/viaf/155735775|lcnaf%%http://id.loc.gov/authorities/names/n85387244,,,"Royal Prince Alfred Hospital (Sydney, N.S.W.)",,186492e9-6747-42fb-9542-f6c5af4c8a0f
Savoy Studio,,,,,Savoy Studio,,03682c92-6335-4f49-989f-68afc6fa9c79
Schaefer & Sons,,,,,Schaefer & Sons,,1dd3cf74-64e6-4ccc-9415-5b2910d2842f
Schuyler Studios,Location information: New York|basic_html|Location information: New York,,,,Schuyler Studios,,553b196e-7ed5-4269-acc4-006b57430889
Shaw Studio,"Location information: Bloomington, IN|basic_html|Location information: Bloomington, IN",,,,Shaw Studio,,8d8d2d82-c882-4a97-b7c6-b905c3079af9
Shelburne Studios,Location information: New York|basic_html|Location information: New York,,,,Shelburne Studios,,3ad5e6c1-7629-4a38-b548-194428c9f8db
Johns Hopkins University. Sheridan Libraries,,viaf%%http://viaf.org/viaf/125835239|lcnaf%%http://id.loc.gov/authorities/names/no2003106463,,,Johns Hopkins University,Sheridan Libraries,4cac922d-a0e5-4418-a5ea-7d428d9a6e8d
Sherman & McHugh,Location information: New York|basic_html|Location information: New York,,,,Sherman & McHugh,,4e87a5ea-b12b-43b9-834e-d4d465f62c10
Sherman Sable Studio,"Location information: Syracuse, NY|basic_html|Location information: Syracuse, NY",,,,Sherman Sable Studio,,a0cbfc85-98ae-45a8-b278-4438b9373b18
Shervee & Bushong,"Location information: Worcester, MA|basic_html|Location information: Worcester, MA",,,,Shervee & Bushong,,b3bb91ed-a062-4e2b-9447-63042dad30f4
"Shriver Hall concert series Baltimore, Md.",,viaf%%http://viaf.org/viaf/125993585,,,"Shriver Hall concert series Baltimore, Md.",,a21f6c23-79df-4971-88ac-aef004162e80
Sigma Phi Epsilon,,viaf%%http://viaf.org/viaf/135165873|lcnaf%%http://id.loc.gov/authorities/names/no95011282,,,Sigma Phi Epsilon,,32fc801f-60c0-4e7b-90fd-392ab378844a
Skidmore College,,viaf%%http://viaf.org/viaf/126678521|lcnaf%%http://id.loc.gov/authorities/names/n81063529,,,Skidmore College,,163afa4a-4bee-4d61-bec7-204919d4e616
Slinkman Photographers,,,,,Slinkman Photographers,,61782bdc-42d9-4887-96e0-cb9f3af4d03c
Smith Studios,"Location information: Frederick, MD|basic_html|Location information: Frederick, MD",,,,Smith Studios,,d8e8e626-e87d-4961-a149-68c9c6140a41
Socony Mobil Oil Co.,"Location information: New York City, NY|basic_html|Location information: New York City, NY",,,,Socony Mobil Oil Co.,,5a0ae4ff-7e46-45e7-a64c-9a6e20c0c3ba
